City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
83,Rikitea,PF,-23.12,-134.97,70.75,84,79,20.29,light rain
84,Verkhnevilyuysk,RU,63.45,120.32,51.37,56,0,3.71,clear sky
85,Kautokeino,NO,69.01,23.04,53.56,90,100,8.34,light rain
86,Grand Gaube,MU,-20.01,57.66,71.01,73,22,7.0,light rain
87,Atuona,PF,-9.8,-139.03,78.26,78,2,15.46,light rain
88,Hermanus,ZA,-34.42,19.23,55.0,95,100,5.82,overcast clouds
89,Port Elizabeth,ZA,-33.92,25.57,55.4,87,99,5.82,overcast clouds
90,Riyadh,SA,24.69,46.72,93.2,15,32,6.93,scattered clouds
91,Asau,RO,46.43,26.4,64.99,87,40,4.12,light rain
92,Kapaa,US,22.08,-159.32,87.8,62,20,14.99,few clouds
93,Vaitape,PF,-16.52,-151.75,77.68,77,15,18.41,few clouds
94,Yellowknife,CA,62.46,-114.35,63.0,48,20,2.24,few clouds
95,Lompoc,US,34.64,-120.46,77.0,69,1,12.75,clear sky
96,Castro,BR,-24.79,-50.01,47.32,95,15,10.0,few clouds
97,Nola,IT,40.92,14.53,77.0,88,20,1.12,few clouds
98,Klaksvik,FO,62.23,-6.59,44.6,93,73,1.12,broken clouds
99,Nabire,ID,-3.37,135.48,76.59,84,99,3.91,light rain
100,Cooma,AU,-36.23,149.13,39.2,64,40,12.75,scattered clouds
101,Saint-Philippe,RE,-21.36,55.77,66.2,63,36,4.7,scattered clouds
102,Kodiak,US,57.79,-152.41,59.32,76,89,5.59,overcast clouds
103,Montepuez,MZ,-13.13,39.0,66.42,76,80,6.33,broken clouds
104,Butaritari,KI,3.07,172.79,83.25,68,68,8.08,broken clouds
105,Codrington,AU,-38.27,141.97,45.97,84,86,7.74,light rain
106,Victoria,HK,22.29,114.16,84.99,83,18,8.01,few clouds
107,Bengkulu,ID,-3.8,102.27,75.88,85,99,4.27,overcast clouds
108,Garden City,US,42.33,-83.33,87.8,45,20,10.29,few clouds
109,Fortuna,US,40.6,-124.16,62.6,82,20,17.22,few clouds
110,Caborca,MX,30.58,-111.1,105.01,37,10,1.79,clear sky
111,Skjervoy,NO,70.03,20.97,52.41,88,100,28.07,light rain
112,Maku,IR,39.29,44.45,58.93,69,0,1.7,clear sky
113,Hithadhoo,MV,-0.6,73.08,82.62,79,70,12.93,light rain
114,Laukaa,RU,58.74,29.85,58.21,93,100,4.99,overcast clouds
115,Tuktoyaktuk,CA,69.45,-133.04,69.8,56,75,11.41,broken clouds
116,Naze,JP,28.37,129.48,87.8,79,75,20.8,broken clouds
117,Saint-Georges,GD,12.06,-61.75,84.2,83,20,8.7,few clouds
118,Nanortalik,GL,60.14,-45.24,44.28,86,0,6.44,clear sky
119,Tiksi,RU,71.69,128.87,40.05,77,97,12.64,overcast clouds
120,Sechura,PE,-5.56,-80.82,65.19,68,3,13.53,clear sky
121,Buala,SB,-8.14,159.59,83.46,74,95,6.49,light rain
122,Matara,LK,5.95,80.54,77.13,88,45,4.14,scattered clouds
123,Nantucket,US,41.28,-70.1,71.6,94,20,5.82,few clouds
124,Emba,KZ,48.83,58.14,63.48,59,97,10.04,overcast clouds
125,San Andres,CO,12.58,-81.7,86.0,74,40,5.82,scattered clouds
126,Mar Del Plata,AR,-38.0,-57.56,50.0,93,17,13.87,few clouds
127,Mahebourg,MU,-20.41,57.7,71.6,78,40,16.11,scattered clouds
128,Havelock,US,34.88,-76.9,78.8,83,40,6.93,light rain
129,Fayaoue,NC,-20.65,166.53,74.17,91,22,16.64,few clouds
130,Severo-Kurilsk,RU,50.68,156.12,55.29,78,44,3.53,scattered clouds
131,Qeshm,IR,26.96,56.27,89.6,75,20,6.93,haze
132,Issoire,FR,45.55,3.25,59.0,77,52,1.12,broken clouds
133,Karratha,AU,-20.74,116.85,81.0,23,48,2.82,scattered clouds
134,Gardendale,US,33.66,-86.81,86.0,58,75,6.93,broken clouds
135,Upernavik,GL,72.79,-56.15,43.25,88,94,0.94,overcast clouds
136,Dikson,RU,73.51,80.55,45.19,83,0,10.49,clear sky
137,Kanchanaburi,TH,14.63,99.1,74.66,85,93,4.21,overcast clouds
138,Sahuaripa,MX,29.05,-109.23,97.09,44,13,2.21,few clouds
139,Adrar,MR,20.5,-10.07,97.16,22,7,12.82,clear sky
140,Teguldet,RU,57.31,88.17,51.49,95,73,2.93,broken clouds
141,Surt,LY,31.21,16.59,78.49,83,0,6.6,clear sky
142,Sorland,NO,67.67,12.69,52.83,80,30,17.92,scattered clouds
143,Bontang,ID,0.13,117.5,78.62,83,29,4.0,scattered clouds
144,Tezu,IN,27.92,96.17,77.04,78,100,2.48,overcast clouds
145,Sarakhs,IR,36.54,61.16,78.8,47,0,2.24,clear sky
146,Bethel,US,41.37,-73.41,80.6,57,1,6.93,clear sky
147,Aswan,EG,24.09,32.91,83.77,26,0,5.28,clear sky
148,Aksu,CN,41.12,80.26,72.84,36,0,2.53,clear sky
149,Bambous Virieux,MU,-20.34,57.76,71.6,78,40,16.11,scattered clouds
150,Norman Wells,CA,65.28,-126.83,71.6,43,20,17.22,few clouds
151,Belgrade,RS,44.8,20.47,69.8,77,18,5.82,few clouds
152,Pathein,MM,16.78,94.73,76.8,93,100,3.27,light rain
153,Ridgecrest,US,35.62,-117.67,102.99,15,16,17.13,few clouds
154,Hobyo,SO,5.35,48.53,75.51,78,35,22.7,scattered clouds
155,Quatre Cocos,MU,-20.21,57.76,71.6,78,40,16.11,scattered clouds
156,Northam,GB,51.03,-4.22,61.0,93,92,8.01,light rain
157,Moerai,PF,-22.43,-151.33,70.47,63,17,6.76,few clouds
158,Virginia Beach,US,36.85,-75.98,86.0,66,75,11.41,broken clouds
159,Rosetta,EG,31.4,30.42,78.8,78,0,3.36,clear sky
160,Kalmunai,LK,7.42,81.82,78.04,80,18,9.17,few clouds
161,Pangnirtung,CA,66.15,-65.71,47.39,73,100,3.53,overcast clouds
162,Newport,GB,51.59,-3.0,62.01,89,93,8.93,overcast clouds
163,Sri Aman,MY,1.24,111.46,77.0,94,100,0.65,overcast clouds
164,Puerto Ayora,EC,-0.74,-90.35,68.0,83,72,4.0,broken clouds
165,Ancud,CL,-41.87,-73.82,48.99,93,90,6.93,overcast clouds
166,Vanimo,PG,-2.67,141.3,77.92,85,100,3.94,moderate rain
167,Sehwan,PK,26.43,67.86,87.8,74,100,4.7,haze
168,Jinchang,CN,38.5,102.17,70.88,30,0,7.16,clear sky
169,Belyy Yar,RU,53.6,91.39,57.2,82,40,4.47,scattered clouds
170,Kaitangata,NZ,-46.28,169.85,53.01,91,96,11.01,overcast clouds
171,Auki,SB,-8.77,160.7,85.77,63,65,2.75,broken clouds
172,Maceio,BR,-9.67,-35.74,71.6,88,20,2.24,few clouds
173,Uglovka,RU,58.24,33.51,59.58,99,92,6.11,light rain
174,Westport,US,41.14,-73.36,79.0,83,43,8.28,scattered clouds
175,Carnarvon,AU,-24.87,113.63,59.0,82,0,13.87,clear sky
176,Anderson,US,34.53,-82.65,78.8,74,20,12.75,few clouds
177,San Quintin,MX,30.48,-115.95,78.84,60,0,11.88,clear sky
178,Bonthe,SL,7.53,-12.51,76.17,91,100,9.91,moderate rain
179,Jiaojiang,CN,28.68,121.44,84.99,87,0,1.99,clear sky
180,Karapyshi,UA,49.64,30.79,64.17,44,0,9.69,clear sky
181,Iwaki,JP,37.05,140.88,87.01,75,55,3.0,broken clouds
182,Saint-Francois,FR,46.42,3.91,57.2,82,43,2.24,scattered clouds
183,Tashtyp,RU,52.79,89.9,50.59,89,46,3.58,scattered clouds
184,Cayenne,GF,4.93,-52.33,77.0,100,75,2.24,broken clouds
185,Lugovoy,KZ,42.95,72.76,74.07,26,50,6.71,scattered clouds
186,Guerrero Negro,MX,27.98,-114.06,80.98,54,35,19.98,scattered clouds
187,Labuhan,ID,-6.88,112.21,77.67,80,38,6.49,scattered clouds
188,Lorengau,PG,-2.02,147.27,77.9,86,98,8.23,moderate rain
189,Vao,NC,-22.67,167.48,70.2,72,91,11.81,overcast clouds
190,Ixtapa,MX,20.7,-105.2,87.8,74,40,9.17,scattered clouds
191,Lima,PE,-12.04,-77.03,62.6,72,90,14.99,overcast clouds
192,Tuatapere,NZ,-46.13,167.68,55.99,81,49,8.01,scattered clouds
193,Port Hedland,AU,-20.32,118.57,62.6,63,0,5.23,clear sky
194,Barguzin,RU,53.62,109.62,57.99,82,87,5.44,overcast clouds
195,Kondinskoye,RU,59.65,67.41,52.83,92,100,9.93,overcast clouds
196,Bukama,CD,-9.2,25.85,70.14,47,11,3.02,few clouds
197,Synya,RU,65.37,58.04,43.47,84,10,3.94,clear sky
198,Surab,PK,28.49,66.26,72.27,67,14,4.05,few clouds
199,Umm Lajj,SA,25.02,37.27,82.51,54,0,3.51,clear sky
200,Byron Bay,AU,-28.65,153.62,59.0,40,0,19.46,clear sky
201,Porto San Giorgio,IT,43.18,13.79,77.0,72,4,1.99,clear sky
202,Jijiga,ET,9.35,42.8,62.11,77,67,14.88,broken clouds
203,Santa Cruz,BO,-17.8,-63.17,68.0,56,0,11.41,clear sky
204,Pevek,RU,69.7,170.31,37.78,96,100,2.17,light rain
205,Ust-Maya,RU,60.42,134.53,56.73,43,61,2.17,broken clouds
206,Cabo San Lucas,MX,22.89,-109.91,91.4,58,5,10.29,clear sky
207,Banda Aceh,ID,5.56,95.32,79.27,82,85,8.08,light rain
208,Dire Dawa,ET,9.59,41.87,69.58,63,40,22.32,light rain
209,Ozu,JP,33.5,132.55,84.99,83,20,4.7,few clouds
