City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Annau,TM,2020-08-23 19:28:42,37.89,58.52,82.4,39,40,13.87
70,Torbay,CA,2020-08-23 19:23:56,47.67,-52.73,71.01,63,40,5.82
71,Sabla,NG,2020-08-23 19:28:42,12.75,4.71,82.87,65,100,5.7
72,Saint-Philippe,RE,2020-08-23 19:25:23,-21.36,55.77,69.8,72,36,4.7
73,Khatanga,RU,2020-08-23 19:28:42,71.97,102.5,53.83,66,72,9.44
74,Broken Hill,AU,2020-08-23 19:28:42,-31.95,141.43,39.2,81,0,4.7
75,Port Lincoln,AU,2020-08-23 19:26:07,-34.73,135.87,46.85,82,6,2.08
76,Cascais,PT,2020-08-23 19:28:42,38.7,-9.42,73.0,73,20,28.86
77,Warren,US,2020-08-23 19:28:42,39.43,-84.17,84.0,74,1,5.82
78,Salalah,OM,2020-08-23 19:28:42,17.02,54.09,77.0,100,90,4.7
79,Molina,CL,2020-08-23 19:28:42,-35.12,-71.28,60.8,44,40,9.17
80,Samarai,PG,2020-08-23 19:28:43,-10.62,150.67,75.33,76,100,14.18
81,Gaziantep,TR,2020-08-23 19:25:14,37.06,37.38,80.6,26,0,5.82
82,Boa Vista,BR,2020-08-23 19:28:43,2.82,-60.67,84.2,62,40,11.41
83,Grindavik,IS,2020-08-23 19:28:43,63.84,-22.43,53.6,66,0,8.05
84,Kviteseid,NO,2020-08-23 19:28:43,59.4,8.49,55.99,71,0,3.0
85,Nanortalik,GL,2020-08-23 19:25:19,60.14,-45.24,47.37,78,0,3.71
86,Santo Domingo,DO,2020-08-23 19:28:43,18.5,-69.99,86.0,94,75,7.83
87,Geraldton,AU,2020-08-23 19:23:55,-28.77,114.6,48.2,93,75,6.93
88,Pyapon,MM,2020-08-23 19:28:43,16.28,95.68,76.69,89,100,5.01
89,Qaanaaq,GL,2020-08-23 19:25:18,77.48,-69.36,37.58,83,99,3.36
90,Gagnoa,CI,2020-08-23 19:28:43,6.13,-5.94,74.8,80,50,4.92
91,Antofagasta,CL,2020-08-23 19:28:43,-23.65,-70.4,59.0,67,75,11.41
92,Pisco,PE,2020-08-23 19:28:43,-13.7,-76.22,64.99,82,75,9.17
93,Puerto Ayora,EC,2020-08-23 19:25:21,-0.74,-90.35,77.0,57,81,21.92
94,Maxixe,MZ,2020-08-23 19:28:43,-23.86,35.35,68.0,77,0,4.7
95,Tondano,ID,2020-08-23 19:28:43,1.3,124.91,75.2,83,20,2.24
96,Georgetown,MY,2020-08-23 19:28:43,5.41,100.34,80.6,94,20,3.36
97,Longyearbyen,SJ,2020-08-23 19:28:44,78.22,15.64,46.4,61,0,8.05
98,Kinlochleven,GB,2020-08-23 19:28:44,56.71,-4.97,53.01,83,82,2.84
99,Tuatapere,NZ,2020-08-23 19:28:44,-46.13,167.68,41.09,89,95,4.45
100,Kargasok,RU,2020-08-23 19:28:44,59.06,80.86,48.67,93,7,5.12
101,Pangnirtung,CA,2020-08-23 19:25:42,66.15,-65.71,42.8,93,75,8.05
102,Upernavik,GL,2020-08-23 19:25:18,72.79,-56.15,44.47,85,91,8.28
103,Kodiak,US,2020-08-23 19:23:57,57.79,-152.41,60.8,72,90,4.7
104,Soyo,AO,2020-08-23 19:25:49,-6.13,12.37,73.72,88,55,5.73
105,Cabedelo,BR,2020-08-23 19:28:44,-6.98,-34.83,80.6,65,67,14.99
106,Batemans Bay,AU,2020-08-23 19:28:44,-35.72,150.18,28.99,89,0,5.26
107,Abha,SA,2020-08-23 19:28:44,18.22,42.51,71.6,88,77,4.7
108,Simao,CN,2020-08-23 19:28:44,22.79,100.97,66.0,96,100,1.95
109,Gigmoto,PH,2020-08-23 19:28:44,13.78,124.39,80.96,82,100,4.97
110,Luohe,CN,2020-08-23 19:28:45,33.57,114.04,76.73,94,56,5.77
111,Wasilla,US,2020-08-23 19:27:01,61.58,-149.44,63.0,72,90,3.2
112,Talnakh,RU,2020-08-23 19:28:45,69.49,88.4,57.2,82,100,13.42
113,Wembley,AU,2020-08-23 19:28:45,-31.93,115.8,46.4,100,99,5.82
114,Mar Del Plata,AR,2020-08-23 19:28:45,-38.0,-57.56,64.4,39,0,14.99
115,Berlevag,NO,2020-08-23 19:25:32,70.86,29.09,60.8,87,100,3.36
116,Gumdag,TM,2020-08-23 19:28:45,39.21,54.59,77.38,31,11,17.22
117,Port Hardy,CA,2020-08-23 19:28:45,50.7,-127.42,55.4,87,75,8.05
