City_ID,City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
220,220,Nanzhang,CN,31.78,111.84,81.64,79,52,2.68,broken clouds
225,225,Tahta,EG,26.77,31.5,80.6,32,0,3.36,clear sky
226,226,Metro,ID,-5.11,105.31,76.08,84,89,3.13,overcast clouds
229,229,Hilo,US,19.73,-155.09,82.4,74,75,8.05,light rain
235,235,Champerico,GT,14.3,-91.92,78.8,94,90,6.93,moderate rain
237,237,Mandera,KE,3.94,41.87,77.07,59,89,21.56,overcast clouds
248,248,Nouadhibou,MR,20.93,-17.03,75.2,78,14,10.29,few clouds
249,249,Nador,MA,35.17,-2.93,78.8,83,40,3.74,scattered clouds
250,250,Jacareacanga,BR,-6.22,-57.75,81.52,34,0,2.42,clear sky
251,251,Amahai,ID,-3.33,128.92,79.81,75,73,4.41,broken clouds
260,260,Minot,US,48.23,-101.3,77.0,53,40,5.82,scattered clouds
261,261,Natal,BR,-5.79,-35.21,77.0,73,71,11.41,broken clouds
263,263,Madhupur,IN,24.25,86.65,79.92,84,74,4.12,broken clouds
264,264,Haapiti,PF,-17.57,-149.87,82.4,61,20,5.82,few clouds
265,265,The Valley,AI,18.22,-63.06,84.2,79,75,11.41,broken clouds
266,266,Campoverde,PE,-8.48,-74.81,77.0,65,75,2.24,broken clouds
267,267,Hambantota,LK,6.12,81.12,78.66,85,52,10.78,broken clouds
269,269,Tarakan,ID,3.3,117.63,78.75,87,7,7.45,light rain
271,271,Panacan,PH,9.25,118.41,83.55,70,98,3.29,overcast clouds
275,275,Sakakah,SA,29.97,40.21,86.0,22,0,6.93,clear sky
277,277,Tweed,CA,44.48,-77.32,81.0,76,69,1.01,light rain
278,278,Katobu,ID,-4.94,122.53,79.7,67,26,7.25,scattered clouds
280,280,Broome,US,42.25,-75.83,75.99,69,1,3.36,clear sky
284,284,Tessalit,ML,20.2,1.01,88.43,42,92,18.75,overcast clouds
285,285,Marsh Harbour,BS,26.54,-77.06,84.97,78,5,22.35,light rain
286,286,Katsuura,JP,35.13,140.3,82.0,76,99,5.99,overcast clouds
287,287,Johnson City,US,36.31,-82.35,82.4,88,90,13.87,heavy intensity rain
288,288,Luba,GQ,3.46,8.55,75.87,83,100,4.83,light rain
289,289,Sioux Lookout,CA,50.1,-91.92,77.0,73,75,3.36,broken clouds
291,291,Simbahan,PH,6.3,120.58,83.39,76,23,10.0,few clouds
293,293,Juegang,CN,32.32,121.19,81.79,79,0,5.86,clear sky
294,294,Teguise,ES,29.06,-13.56,75.2,78,20,25.28,few clouds
298,298,San Cristobal,VE,7.77,-72.22,86.0,45,40,18.34,scattered clouds
300,300,Sao Filipe,CV,14.9,-24.5,79.11,84,77,7.85,broken clouds
308,308,Iberia,US,29.95,-91.75,86.0,74,90,9.17,light rain
311,311,Luwuk,ID,-0.95,122.79,81.48,61,20,3.69,few clouds
313,313,Sarhari,PK,26.1,68.48,87.8,74,100,4.7,haze
315,315,Zhuhai,CN,22.28,113.57,86.0,83,20,3.36,few clouds
318,318,Gigmoto,PH,13.78,124.39,83.77,79,99,7.94,light rain
322,322,Labuan,MY,5.28,115.24,75.2,100,20,6.51,few clouds
326,326,Nishihara,JP,26.18,127.76,80.6,88,75,35.57,heavy intensity shower rain
327,327,Acarau,BR,-2.89,-40.12,77.68,76,54,17.96,broken clouds
329,329,Uribia,CO,11.71,-72.27,84.7,68,43,5.91,light rain
335,335,Caracuaro,MX,19.01,-101.13,82.13,83,31,1.99,light rain
336,336,Villa Rica,US,33.73,-84.92,82.99,69,40,5.95,scattered clouds
337,337,Cockburn Town,TC,21.46,-71.14,84.4,80,100,24.52,overcast clouds
338,338,Manono,CD,-7.3,27.42,77.47,40,80,3.51,broken clouds
343,343,Shingu,JP,33.73,135.98,82.4,78,75,2.24,broken clouds
347,347,Bathsheba,BB,13.22,-59.52,82.4,78,40,8.05,scattered clouds
348,348,Kyaikkami,MM,16.08,97.57,78.4,85,99,8.97,light rain
353,353,Palmer,US,42.16,-72.33,82.0,78,75,11.41,very heavy rain
354,354,Bayshore Gardens,US,27.43,-82.59,84.2,83,1,3.36,clear sky
355,355,Bowmore,US,34.94,-79.3,80.6,83,1,6.93,clear sky
360,360,Guarumal,PA,8.35,-82.53,82.0,78,40,5.82,scattered clouds
363,363,Oistins,BB,13.07,-59.53,82.4,78,40,8.05,scattered clouds
366,366,Aripuana,BR,-9.17,-60.63,78.6,39,0,0.63,clear sky
367,367,Kieta,PG,-6.22,155.63,82.18,70,100,6.64,overcast clouds
373,373,Calabozo,VE,8.92,-67.43,76.98,84,67,1.52,broken clouds
374,374,Kismayo,SO,-0.36,42.55,75.99,81,25,14.0,scattered clouds
380,380,Khanu Woralaksaburi,TH,16.06,99.86,77.2,91,100,1.32,light rain
386,386,San Patricio,MX,19.22,-104.7,87.8,74,75,11.41,broken clouds
387,387,Panaba,MX,21.28,-88.27,81.1,87,87,7.99,light rain
388,388,Merauke,ID,-8.47,140.33,78.46,71,80,12.46,broken clouds
